"Reordering Point Report "
"Item Name"," Quantity Last Jun 13 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"PENTEL PEN BLACK"," 0"," 53"," 41"," +12"," 12"," Need to Request"," 150"," 250"
"PENTEL PEN BLUE"," 0"," 24"," 0"," +24"," 24"," Need to Request"," 150"," 250"
"PENTEL PEN RED"," 158"," 0"," 1"," -1"," 157"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 122"," 0"," 2"," -2"," 120"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 73"," 0"," 2"," -2"," 71"," Need to Request"," 100"," 150"
"PENTEL PEN WB RED"," 260"," 0"," 0"," 0"," 260"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 5150"," 0"," 47"," -47"," 5103"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 3957"," 0"," 69"," -69"," 3888"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 480"," 0"," 19"," -19"," 461"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 304"," 0"," 14"," -14"," 290"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 1003"," 700"," 33"," +667"," 1670"," "," 150"," 250"
PUNCHER," 68"," 0"," 4"," -4"," 64"," Need to Request"," 100"," 150"
"RUBBER BAND BIG"," 116"," 0"," 9"," -9"," 107"," "," 100"," 150"
"RUBBER BAND SMALL"," 176"," 0"," 20"," -20"," 156"," "," 150"," 250"
RULER," 15"," 0"," 4"," -4"," 11"," Need to Request"," 100"," 150"
SCISSOR," 90"," 0"," 3"," -3"," 87"," Need to Request"," 100"," 150"
"STABILO BLUE"," 0"," 20"," 1"," +19"," 19"," Need to Request"," 100"," 150"
"STABILO GREEN"," 0"," 20"," 1"," +19"," 19"," Need to Request"," 100"," 150"
"STABILO ORANGE"," 20"," 20"," 12"," +8"," 28"," Need to Request"," 100"," 150"
"STABILO PINK"," 33"," 0"," 10"," -10"," 23"," Need to Request"," 100"," 150"
"STABILO YELLOW"," 0"," 20"," 2"," +18"," 18"," Need to Request"," 100"," 150"
"STAMP PAD INK BLUE"," 127"," 0"," 7"," -7"," 120"," "," 100"," 150"
"STAPLE WIRE BIG"," 0"," 181"," 91"," +90"," 90"," Need to Request"," 200"," 400"
"TAPE DISPENSER BIG"," 88"," 0"," 3"," -3"," 85"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 223"," 0"," 5"," -5"," 218"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 231"," 0"," 1"," -1"," 230"," "," 100"," 150"
"TAPE PACKING 2'"," 322"," 0"," 12"," -12"," 310"," "," 150"," 250"
"TAPE SCOTCH 1'"," 223"," 0"," 66"," -66"," 157"," "," 150"," 350"
"TRANSMITTAL SHEET"," 427"," 0"," 1"," -1"," 426"," "," 150"," 350"
"TRASH CAN"," 48"," 0"," 1"," -1"," 47"," Need to Request"," 100"," 150"
