"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1456110440"," 2016-1455878131"," 2016-1455873823"," 2016-1455853108"," 2016-1455851184"," 2016-1455846416"," 2016-1455844540"," 2016-1455778075"," 2016-1455766986"," 2016-1455763232"," 2016-1455760161"," 2016-1455327775"," 2016-1455324631"," Total"
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,2,3,0,0,0,0,10,0,0,15
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,2,1,0,0,0,0,0,0,0,3
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,2,1,0,0,0,0,1,0,0,4
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,2,3,0,0,0,0,0,0,0,5
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,2,0,0,0,0,0,0,0,0,2
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO ORANGE",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"STABILO PINK",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"STABILO YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,5,0,0,0,0,0,0,0,10,0,15
"TAPE SCOTCH 1'",4,3,0,0,0,1,0,0,0,0,0,0,0,8
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,15,44,30,125,16,15,54,2,90,22,25,18,6,462
