"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1452734039"," 2016-1452676928"," 2016-1452675161"," 2016-1452674761"," 2016-1452663436"," 2016-1452662217"," 2016-1452653346"," 2016-1452652608"," 2016-1452652412"," 3743-1452593743"," 5877-1452565877"," 0417-1452560417"," 1690-1452501690"," 2016-1452313642"," 2016-1452309167"," 2016-1452303063"," 2016-1452132905"," Total"
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN PURPLE",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PILOT BX-V5 SIGNPEN RED",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,7
RULER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"STABILO GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"STABILO PINK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"STABILO YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,10
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,7
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",10,0,0,0,0,0,0,3,0,5,5,0,0,0,0,0,0,23
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,37,27,12,3,36,1,57,36,11,21,14,14,176,10,94,41,50,640
