"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1459734832"," 2016-1459731288"," 2016-1459730506"," 2016-1459730470"," 2016-1459729047"," 7129-1459567129"," 8660-1459488660"," 4980-1459474980"," 2016-1459308399"," 2016-1459306916"," 2016-1459240252"," 2016-1459240136"," Total"
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,20,0,0,0,0,0,20
"ENVELOPE LONG",0,7,0,0,0,0,0,0,0,0,30,0,37
"ENVELOPE SHORT",0,5,0,0,0,0,0,0,10,0,0,0,15
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,10,0,0,0,0,0,10
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,20,0,0,0,0,0,0,0,20
"GLUE ",0,0,0,0,1,0,0,0,0,0,0,0,1
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,2,0,0,0,0,2
"HP INK 704 COLORED",0,0,0,0,0,0,0,2,0,0,0,0,2
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,1,0,0,0,0,0,0,0,1,2
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,0,0,0,0,0,0,0,0
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",5,0,0,0,1,0,5,0,0,0,5,0,16
"NEWSPRINT SHORT",5,0,0,0,4,0,0,0,0,0,0,0,9
NOTEBOOK,0,0,0,0,0,0,2,0,0,0,0,0,2
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP SMALL",0,0,0,0,0,0,2,0,0,1,2,0,5
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLUE",0,0,1,0,0,0,0,0,0,0,0,0,1
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,2,2
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,0,0,0,0,0,0,0,8,8
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,0,3,3
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,1,0,0,0,0,0,0,0,0,0,1
"RUBBER BAND SMALL",0,0,1,0,0,0,0,0,0,0,0,0,1
RULER,0,0,0,0,0,0,2,0,0,0,0,0,2
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,3,0,0,0,0,0,3
"STABILO GREEN",0,0,0,0,0,0,3,0,0,0,0,0,3
"STABILO ORANGE",0,0,0,0,0,0,3,0,0,0,0,0,3
"STABILO PINK",0,0,0,0,0,0,3,0,0,0,0,0,3
"STABILO YELLOW",0,0,0,0,0,0,3,0,0,1,0,0,4
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,0,0,0,0,1,0,1
"STAPLER #35 ",0,0,1,0,0,0,0,0,0,0,0,0,1
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,3,0,0,0,0,0,0,0,0,0,3
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,2,0,0,0,0,0,0,0,0,10,12
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0
Total,10,12,10,6,30,9,84,14,10,5,43,39,272
