"Reordering Point Report "
"Item Name"," Quantity Last Mar 14 2016"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"EPSON INK MAGENTA T6643"," 296"," 0"," 0"," 0"," 296"," "," 100"," 150"
"EPSON INK YELLOW T6644"," 213"," 0"," 0"," 0"," 213"," "," 100"," 150"
"EPSON S015632 RIBBON LX310"," 103"," 0"," 0"," 0"," 103"," "," 100"," 150"
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," Need to Request"," 0"," 0"
"FASTENER PLASTIC"," 975"," 0"," 0"," 0"," 975"," "," 150"," 250"
"FAX PAPER"," 290"," 0"," 0"," 0"," 290"," "," 100"," 150"
"FOLDER GREEN"," 6182"," 0"," 0"," 0"," 6182"," "," 250"," 400"
"FOLDER LONG"," 7337"," 0"," 0"," 0"," 7337"," "," 250"," 400"
"FOLDER SHORT"," 7096"," 0"," 0"," 0"," 7096"," "," 250"," 350"
"GLUE "," 365"," 0"," 0"," 0"," 365"," "," 50"," 150"
"HP 678 BLACK INK CARTRIDGE"," 90"," 0"," 0"," 0"," 90"," Need to Request"," 100"," 250"
"HP 678 TRI COLOR INK CARTRIDGE"," 90"," 0"," 0"," 0"," 90"," Need to Request"," 100"," 250"
"HP INK 21 BLACK"," 91"," 0"," 0"," 0"," 91"," Need to Request"," 150"," 200"
"HP INK 22 TRI-COLOR"," 92"," 0"," 0"," 0"," 92"," Need to Request"," 150"," 200"
"HP INK 60 BLACK"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP INK 60 TRI COLORED"," 305"," 0"," 0"," 0"," 305"," "," 100"," 150"
"HP INK 703 BLACK"," 53"," 0"," 0"," 0"," 53"," Need to Request"," 100"," 150"
"HP INK 703 TRI-COLOR"," 72"," 0"," 0"," 0"," 72"," Need to Request"," 100"," 150"
"HP INK 704 BLACK"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP INK 704 COLORED"," 84"," 0"," 0"," 0"," 84"," Need to Request"," 100"," 150"
"HP INK 920XL BLACK"," 374"," 0"," 0"," 0"," 374"," "," 100"," 150"
"HP INK 920XL CYAN"," 421"," 0"," 0"," 0"," 421"," "," 100"," 150"
"HP INK 920XL MAGENTA"," 523"," 0"," 0"," 0"," 523"," "," 100"," 150"
"HP INK 920XL YELLOW"," 373"," 0"," 0"," 0"," 373"," "," 100"," 150"
"HP INK 932XL BLACK"," 529"," 0"," 0"," 0"," 529"," "," 100"," 150"
"HP INK 933XL CYAN"," 248"," 0"," 0"," 0"," 248"," "," 100"," 150"
"HP INK 933XL MAGENTA"," 244"," 0"," 0"," 0"," 244"," "," 100"," 150"
"HP INK 933XL YELLOW"," 235"," 0"," 0"," 0"," 235"," "," 100"," 150"
"HP TONER 05A"," 55"," 30"," 7"," +23"," 78"," Need to Request"," 100"," 150"
"HP TONER 125 (CB540A) BLACK"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB541A) CYAN"," 108"," 0"," 0"," 0"," 108"," "," 100"," 150"
"HP TONER 125 (CB542A) YELLOW"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 125 (CB543A) MAGENTA"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 12A"," 20"," 0"," 0"," 0"," 20"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 19"," 0"," 0"," 0"," 19"," Need to Request"," 100"," 150"
"HP TONER 36A"," 111"," 0"," 0"," 0"," 111"," "," 100"," 150"
"HP TONER 53A"," 61"," 0"," 0"," 0"," 61"," Need to Request"," 100"," 150"
"HP TONER 80A "," 90"," 0"," 0"," 0"," 90"," Need to Request"," 150"," 200"
"HP TONER 85A"," 328"," 0"," 0"," 0"," 328"," "," 150"," 250"
"HP TONER CARTRIDGE 78A"," 79"," 0"," 0"," 0"," 79"," "," 50"," 150"
"LETTER ENVELOPE"," 29556"," 0"," 0"," 0"," 29556"," "," 500"," 2000"
"LETTER HEAD"," 38894"," 0"," 0"," 0"," 38894"," "," 500"," 2500"
"LOG BOOK"," 918"," 0"," 0"," 0"," 918"," "," 150"," 300"
LOGBOOK," 42"," 0"," 0"," 0"," 42"," Need to Request"," 50"," 150"
"MAGAZINE FILE"," 504"," 0"," 0"," 0"," 504"," "," 100"," 200"
"MEMO PAD"," 1819"," 0"," 0"," 0"," 1819"," "," 150"," 250"
"NEWSPRINT LONG"," 560"," 0"," 0"," 0"," 560"," "," 150"," 250"
"NEWSPRINT SHORT"," 545"," 0"," 0"," 0"," 545"," "," 150"," 250"
NOTEBOOK," 1211"," 0"," 1"," -1"," 1210"," "," 50"," 250"
NOTEBOOK," 474"," 0"," 0"," 0"," 474"," "," 0"," 0"
"OPTICAL MOUSE "," 242"," 0"," 0"," 0"," 242"," "," 0"," 0"
"PAPER CLIP BIG"," 709"," 0"," 10"," -10"," 699"," "," 150"," 250"
"PAPER CLIP SMALL"," 414"," 0"," 0"," 0"," 414"," "," 150"," 250"
"PENCIL MONGOL"," 580"," 0"," 0"," 0"," 580"," "," 120"," 240"
"PENTEL PEN BLACK"," 373"," 0"," 0"," 0"," 373"," "," 150"," 250"
"PENTEL PEN BLUE"," 547"," 0"," 0"," 0"," 547"," "," 150"," 250"
"PENTEL PEN RED"," 498"," 0"," 0"," 0"," 498"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 414"," 0"," 0"," 0"," 414"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 405"," 0"," 0"," 0"," 405"," "," 100"," 150"
"PENTEL PEN WB RED"," 606"," 0"," 0"," 0"," 606"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 6941"," 0"," 0"," 0"," 6941"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 4120"," 0"," 0"," 0"," 4120"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 1764"," 0"," 0"," 0"," 1764"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 1523"," 0"," 0"," 0"," 1523"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 625"," 0"," 0"," 0"," 625"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 3597"," 0"," 0"," 0"," 3597"," "," 150"," 250"
PUNCHER," 239"," 0"," 0"," 0"," 239"," "," 100"," 150"
"RUBBER BAND BIG"," 1203"," 0"," 0"," 0"," 1203"," "," 100"," 150"
"RUBBER BAND SMALL"," 907"," 0"," 0"," 0"," 907"," "," 150"," 250"
RULER," 248"," 0"," 0"," 0"," 248"," "," 100"," 150"
SCISSOR," 289"," 0"," 0"," 0"," 289"," "," 100"," 150"
"STABILO BLUE"," 454"," 0"," 0"," 0"," 454"," "," 100"," 150"
"STABILO GREEN"," 436"," 0"," 0"," 0"," 436"," "," 100"," 150"
"STABILO ORANGE"," 434"," 0"," 0"," 0"," 434"," "," 100"," 150"
"STABILO PINK"," 625"," 0"," 0"," 0"," 643"," "," 100"," 150"
"STABILO YELLOW"," 595"," 0"," 0"," 0"," 595"," "," 100"," 150"
"STAMP PAD INK BLUE"," 79"," 0"," 0"," 0"," 79"," Need to Request"," 100"," 150"
"STAPLE WIRE BIG"," 1885"," 0"," 0"," 0"," 1885"," "," 200"," 400"
"STAPLER #35 "," 330"," 0"," 0"," 0"," 330"," "," 50"," 100"
"TAPE DISPENSER BIG"," 69"," 0"," 0"," 0"," 69"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 196"," 0"," 0"," 0"," 196"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 204"," 0"," 0"," 0"," 204"," "," 100"," 150"
"TAPE MASKING"," 126"," 0"," 0"," 0"," 126"," Need to Request"," 150"," 250"
"TAPE MASKING 1"""," 730"," 0"," 0"," 0"," 730"," "," 100"," 250"
"TAPE PACKING 2'"," 1465"," 0"," 0"," 0"," 1465"," "," 150"," 250"
"TAPE SCOTCH 1'"," 1214"," 0"," 0"," 0"," 1214"," "," 150"," 350"
"TRANSMITTAL SHEET"," 398"," 0"," 0"," 0"," 398"," "," 150"," 350"
"TRASH CAN"," 129"," 0"," 0"," 0"," 129"," "," 100"," 150"
