"Daily Approved Request Report from 8:30 to 11 am (Aug 14 2015)"
Item," 2015-1439518004"," 2015-1439514475"," 2015-1439513555"," 2015-1439431013"," 2015-1439429453"," 2015-1439427608"," Total"
"STABILO BLUE",0,0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,0,0,0
"STABILO ORANGE",0,0,0,0,0,0,0
"STABILO PINK",0,0,0,0,0,0,0
"STABILO YELLOW",0,0,0,0,0,0,0
"STAMP PAD INK BLUE",0,0,0,0,0,0,0
"STAPLE WIRE BIG",1,0,5,1,0,0,7
"STAPLER #35 ",0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,1,0,0,0,1
"TAPE PACKING 2'",0,0,0,0,0,0,0
"TAPE SCOTCH 1'",0,2,5,0,0,0,7
"TRANSMITTAL SHEET",0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0
Total,31,3004,51,10,20,5,3121
