"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1455170531"," 2016-1455170268"," 2016-1455162562"," 2016-1455152616"," 2016-1455149798"," 2016-1455088751"," 2016-1455084393"," 2016-1455082512"," 2016-1455072102"," 2016-1455066728"," 2016-1454656580"," 2016-1454296294"," 2016-1454143141"," 2016-1454142948"," Total"
"DOUBLE CLIP 2",0,0,0,0,0,0,0,0,0,2,4,0,0,4,10
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,2,4,0,0,0,6
DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,20,20,0,0,0,25,65
"ENVELOPE LONG",0,10,0,0,0,0,0,0,0,0,0,0,0,0,10
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,0,0,0,0,0,0,0,0,4,0,1,2,7
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,50,10,0,0,0,0,0,35,20,0,0,0,0,115
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,0,0,0,25,0,0,0,0,0,0,25
"GLUE ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,2,0,0,0,0,0,0,0,1,0,0,0,3
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,1,0,0,1,2,0,0,0,0,0,0,0,4
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,500,0,0,0,500
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,0,0,0,0,0,2,0,2,0,4
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,13,0,3,0,16
"NEWSPRINT LONG",0,0,5,0,0,0,0,0,0,0,0,0,0,0,5
"NEWSPRINT SHORT",0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
NOTEBOOK,1,0,0,0,1,0,0,0,0,0,0,0,3,0,5
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,2,0,0,0,0,0,0,2,0,1,4,9
"PAPER CLIP SMALL",0,0,0,2,0,0,0,0,0,0,3,0,1,0,6
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,0,0,0,0,0,0,0,0,5,0,0,0,1,6
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,2,1,0,0,0,0,5,19,0,1,0,28
"PILOT BX-V5 SIGNPEN BLUE",2,0,0,2,0,0,0,0,0,5,5,0,1,2,17
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,5,6,0,0,0,11
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
"PILOT BX-V5 SIGNPEN RED",0,0,0,3,0,0,0,0,0,0,5,0,0,0,8
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
RULER,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"STABILO GREEN",0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
"STABILO PINK",0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"STABILO YELLOW",0,0,0,0,0,0,0,0,0,0,7,0,0,2,9
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",2,0,5,4,0,0,0,0,0,0,0,0,2,0,13
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",2,0,5,0,0,0,0,0,2,5,10,10,0,2,36
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,7,60,39,22,4,9,2,25,58,101,642,24,30,55,1078
