"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 8627-1449538627"," 7022-1449477022"," 6932-1449466932"," 5928-1449465928"," 4309-1449454309"," 3227-1449453227"," 0919-1449450919"," 0701-1449450701"," 0657-1449450657"," 2015-1449291004"," 2015-1449105682"," 2015-1448329774"," Total"
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,0,14,0,0,0,0,0,0,14
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,0,2,0,0,0,3,5
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,2,0,0,0,0,2
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,4,0,0,2,8,3,0,4,0,0,3,24
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,1000,0,0,0,0,0,1000
"LETTER HEAD",0,0,0,0,0,0,2000,0,2000,0,0,0,4000
"LOG BOOK",0,0,1,0,0,0,0,0,0,0,0,0,1
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,6,0,0,0,0,0,0,0,0,0,6
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",0,0,0,40,0,13,0,5,0,4,0,0,62
"NEWSPRINT SHORT",0,0,0,0,0,14,0,5,0,4,0,0,23
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,5,0,0,0,0,0,0,0,0,0,5
"PAPER CLIP SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0
"PENCIL MONGOL",0,0,0,0,0,5,0,0,0,0,0,0,5
"PENTEL PEN BLACK",0,0,0,0,0,2,0,0,0,9,0,0,11
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,1,0,0,0,0,0,1
"PENTEL PEN WB BLUE",0,0,0,0,0,0,1,0,0,0,0,0,1
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,0,13,3,5,0,0,0,0,21
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,0,23,3,0,0,0,0,0,26
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,1,0,0,0,1
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,1,0,0,0,1
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,15,0,3,0,0,0,0,18
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,3,0,0,0,2,0,0,5
"STABILO GREEN",0,0,0,0,0,1,0,0,0,0,0,0,1
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO PINK",0,0,0,0,0,3,0,3,0,2,0,0,8
"STABILO YELLOW",0,0,0,0,0,3,0,0,0,2,0,0,5
"STAMP PAD INK BLUE",0,0,0,0,0,4,0,4,0,0,0,0,8
"STAPLE WIRE BIG",0,0,0,0,0,7,0,8,0,0,0,0,15
"STAPLER #35 ",0,0,0,0,0,0,0,2,0,0,0,0,2
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0
Total,53,4,47,50,2,258,3016,55,2026,193,20,6,5730
