"Reordering Point Report "
"Item Name"," Quantity Last Jul 25 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"HP INK 932XL BLACK"," 279"," 0"," 0"," 0"," 279"," "," 100"," 150"
"HP INK 933XL CYAN"," 88"," 0"," 0"," 0"," 88"," Need to Request"," 100"," 150"
"HP INK 933XL MAGENTA"," 84"," 0"," 0"," 0"," 84"," Need to Request"," 100"," 150"
"HP INK 933XL YELLOW"," 75"," 0"," 0"," 0"," 75"," Need to Request"," 100"," 150"
"HP TONER 05A"," 20"," 100"," 69"," +31"," 51"," Need to Request"," 100"," 150"
"HP TONER 125 BLACK"," 9"," 0"," 0"," 0"," 9"," Need to Request"," 100"," 150"
"HP TONER 125 CYAN"," 10"," 0"," 1"," -1"," 9"," Need to Request"," 100"," 150"
"HP TONER 125 MAGENTA"," 7"," 0"," 1"," -1"," 6"," Need to Request"," 100"," 150"
"HP TONER 125 YELLOW"," 6"," 0"," 0"," 0"," 6"," Need to Request"," 100"," 150"
"HP TONER 12A"," 3"," 50"," 3"," +47"," 50"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 51"," 0"," 6"," -6"," 45"," Need to Request"," 100"," 150"
"HP TONER 36A"," 112"," 0"," 1"," -1"," 111"," "," 100"," 150"
"HP TONER 53A"," 47"," 50"," 14"," +36"," 83"," Need to Request"," 100"," 150"
"HP TONER 85A"," 82"," 120"," 104"," +16"," 98"," Need to Request"," 150"," 250"
"HP TONER CARTRIDGE 78A"," 97"," 0"," 6"," -6"," 91"," "," 50"," 150"
"LETTER ENVELOPE"," 31291"," 0"," 506"," -506"," 30785"," "," 500"," 2000"
"LETTER HEAD"," 52347"," 0"," 4020"," -4020"," 48327"," "," 500"," 2500"
LOGBOOK," 0"," 100"," 5"," +95"," 95"," "," 50"," 150"
"MAGAZINE FILE"," 104"," 154"," 66"," +88"," 192"," "," 100"," 200"
"MEMO PAD"," 13"," 0"," 0"," 0"," 13"," Need to Request"," 150"," 250"
"NEWSPRINT LONG"," 161"," 300"," 125"," +175"," 336"," "," 150"," 250"
"NEWSPRINT SHORT"," 145"," 300"," 130"," +170"," 315"," "," 150"," 250"
NOTEBOOK," 0"," 200"," 0"," +200"," 200"," "," 50"," 250"
NOTEBOOK," 0"," 200"," 100"," +100"," 100"," "," 0"," 0"
"PAPER CLIP BIG"," 30"," 1000"," 41"," +959"," 989"," "," 150"," 250"
"PAPER CLIP SMALL"," 68"," 300"," 1"," +299"," 367"," "," 150"," 250"
"PENCIL MONGOL"," 70"," 240"," 40"," +200"," 270"," "," 120"," 240"
"PENTEL PEN BLACK"," 204"," 0"," 44"," -44"," 160"," "," 150"," 250"
"PENTEL PEN BLUE"," 223"," 0"," 9"," -9"," 214"," "," 150"," 250"
"PENTEL PEN RED"," 157"," 0"," 2"," -2"," 155"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 115"," 0"," 7"," -7"," 108"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 70"," 0"," 2"," -2"," 68"," Need to Request"," 100"," 150"
"PENTEL PEN WB RED"," 260"," 0"," 1"," -1"," 259"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 5848"," 0"," 131"," -131"," 5717"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 3828"," 0"," 134"," -134"," 3694"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 430"," 0"," 29"," -29"," 401"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 260"," 0"," 37"," -37"," 223"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 2491"," 0"," 70"," -70"," 2421"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 700"," 0"," 7"," -7"," 693"," "," 150"," 250"
PUNCHER," 59"," 0"," 4"," -4"," 55"," Need to Request"," 100"," 150"
"RUBBER BAND BIG"," 96"," 0"," 0"," 0"," 96"," Need to Request"," 100"," 150"
"RUBBER BAND SMALL"," 135"," 0"," 57"," -57"," 78"," Need to Request"," 150"," 250"
RULER," 7"," 0"," 0"," 0"," 7"," Need to Request"," 100"," 150"
SCISSOR," 84"," 0"," 5"," -5"," 79"," Need to Request"," 100"," 150"
"STABILO BLUE"," 14"," 200"," 3"," +197"," 211"," "," 100"," 150"
"STABILO GREEN"," 15"," 200"," 3"," +197"," 212"," "," 100"," 150"
"STABILO ORANGE"," 27"," 202"," 4"," +198"," 225"," "," 100"," 150"
"STABILO PINK"," 18"," 418"," 219"," +199"," 235"," "," 100"," 150"
"STABILO YELLOW"," 14"," 200"," 3"," +197"," 211"," "," 100"," 150"
"STAMP PAD INK BLUE"," 120"," 0"," 9"," -9"," 111"," "," 100"," 150"
"STAPLE WIRE BIG"," 1312"," 0"," 96"," -96"," 1216"," "," 200"," 400"
"STAPLER #35 "," 0"," 150"," 9"," +141"," 141"," "," 50"," 100"
"TAPE DISPENSER BIG"," 83"," 0"," 1"," -1"," 82"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 218"," 0"," 3"," -3"," 215"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 230"," 0"," 5"," -5"," 225"," "," 100"," 150"
"TAPE MASKING"," 0"," 200"," 10"," +190"," 190"," "," 150"," 250"
"TAPE PACKING 2'"," 548"," 0"," 33"," -33"," 515"," "," 150"," 250"
"TAPE SCOTCH 1'"," 93"," 300"," 127"," +173"," 266"," "," 150"," 350"
"TRANSMITTAL SHEET"," 423"," 0"," 9"," -9"," 414"," "," 150"," 350"
"TRASH CAN"," 47"," 0"," 6"," -6"," 41"," Need to Request"," 100"," 150"
