"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 6662-1452476662"," 3183-1452473183"," 2845-1452472845"," 1790-1452471790"," 2016-1452298981"," 2016-1452239864"," 2016-1452236788"," 2016-1452231929"," 2016-1452129671"," 2016-1452129489"," 2016-1451952101"," Total"
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,3,0,0,0,0,0,0,0,3
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,3,0,0,0,0,0,0,0,3
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,1,0,1
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,0,0,0,0,0,0,0,0,2,2
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,20,0,0,0,0,0,0,0,0,20
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,0,0,0,0,0,0,0
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,6,0,0,6,0,0,0,15,1,28
"MEMO PAD",0,1,1,0,3,0,0,0,0,0,2,7
"NEWSPRINT LONG",0,4,0,10,0,0,0,0,0,0,22,36
"NEWSPRINT SHORT",0,5,0,10,0,0,0,0,2,10,22,49
NOTEBOOK,0,0,1,0,0,0,0,0,0,0,0,1
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,3,0,0,0,2,5
"PAPER CLIP SMALL",0,0,0,4,0,0,5,0,0,0,3,12
"PENCIL MONGOL",4,0,0,0,0,0,0,0,0,0,0,4
"PENTEL PEN BLACK",0,0,0,3,0,0,0,0,0,3,2,8
"PENTEL PEN BLUE",0,0,0,2,0,0,0,0,0,0,0,2
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,1,0,10,0,0,4,0,0,0,3,18
"PILOT BX-V5 SIGNPEN BLUE",0,1,2,0,0,0,0,0,0,0,3,6
"PILOT BX-V5 SIGNPEN GREEN",0,1,1,0,0,0,5,0,0,0,4,11
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,3,3
"PILOT BX-V5 SIGNPEN RED",0,2,0,4,0,0,0,0,0,0,1,7
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,2,0,0,0,0,2
"RUBBER BAND SMALL",0,0,0,20,0,0,0,0,1,0,0,21
RULER,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"STABILO GREEN",0,0,1,0,0,0,0,0,0,0,1,2
"STABILO ORANGE",0,0,1,0,0,0,0,0,0,0,1,2
"STABILO PINK",0,1,0,7,0,0,0,0,0,0,1,9
"STABILO YELLOW",0,1,1,0,0,0,0,0,0,0,1,3
"STAMP PAD INK BLUE",0,0,0,6,0,0,0,0,0,0,0,6
"STAPLE WIRE BIG",0,1,0,10,0,0,5,1,0,0,4,21
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,1,0,0,0,1
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,4,0,0,0,1,0,0,0,5
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0
Total,12,47,50,114,11,6,146,31,28,61,210,716
