"Reordering Point Report "
"Item Name"," Quantity Last Jan 24 2016"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"PENTEL PEN WB BLUE"," 405"," 0"," 0"," 0"," 405"," "," 100"," 150"
"PENTEL PEN WB RED"," 606"," 0"," 0"," 0"," 606"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 7030"," 0"," 50"," -50"," 6980"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 4183"," 0"," 41"," -41"," 4142"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 711"," 1068"," 11"," +1057"," 1768"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 477"," 1068"," 12"," +1056"," 1533"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 3351"," 268"," 16"," +252"," 3603"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 625"," 0"," 0"," 0"," 625"," "," 150"," 250"
PUNCHER," 239"," 0"," 0"," 0"," 239"," "," 100"," 150"
"RUBBER BAND BIG"," 240"," 964"," 0"," +964"," 1204"," "," 100"," 150"
"RUBBER BAND SMALL"," 293"," 644"," 10"," +634"," 927"," "," 150"," 250"
RULER," 249"," 0"," 1"," -1"," 248"," "," 100"," 150"
SCISSOR," 159"," 130"," 0"," +130"," 289"," "," 100"," 150"
"STABILO BLUE"," 457"," 0"," 3"," -3"," 454"," "," 100"," 150"
"STABILO GREEN"," 440"," 0"," 3"," -3"," 437"," "," 100"," 150"
"STABILO ORANGE"," 443"," 0"," 4"," -4"," 439"," "," 100"," 150"
"STABILO PINK"," 441"," 200"," 5"," +195"," 654"," "," 100"," 150"
"STABILO YELLOW"," 401"," 200"," 5"," +195"," 596"," "," 100"," 150"
"STAMP PAD INK BLUE"," 86"," 0"," 1"," -1"," 85"," Need to Request"," 100"," 150"
"STAPLE WIRE BIG"," 1945"," 0"," 35"," -35"," 1910"," "," 200"," 400"
"STAPLER #35 "," 331"," 0"," 1"," -1"," 330"," "," 50"," 100"
"TAPE DISPENSER BIG"," 70"," 0"," 1"," -1"," 69"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 196"," 0"," 0"," 0"," 196"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 208"," 0"," 0"," 0"," 208"," "," 100"," 150"
"TAPE MASKING"," 154"," 0"," 18"," -18"," 136"," Need to Request"," 150"," 250"
"TAPE MASKING 1"""," 237"," 500"," 7"," +493"," 730"," "," 100"," 250"
"TAPE PACKING 2'"," 36"," 1500"," 61"," +1439"," 1475"," "," 150"," 250"
"TAPE SCOTCH 1'"," 781"," 624"," 181"," +443"," 1224"," "," 150"," 350"
"TRANSMITTAL SHEET"," 407"," 0"," 9"," -9"," 398"," "," 150"," 350"
"TRASH CAN"," 129"," 0"," 0"," 0"," 129"," "," 100"," 150"
