"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1469754205"," 2016-1469700750"," 2016-1469689086"," 2016-1469684081"," 2016-1469671425"," 2016-1469670501"," 2016-1469601323"," 2016-1469599829"," 2016-1469588287"," 2016-1469584020"," 2016-1469582415"," 2016-1469580319"," 2016-1469580296"," 2016-1469515452"," 2016-1469514823"," 2016-1469512728"," 2016-1469161043"," 2016-1469005020"," 2016-1468824223"," 2016-1468635986"," Total"
"HP TONER 05A",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",2,1,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,3,0,2,19
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,4000
"LOG BOOK",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,1,0,9
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
"NEWSPRINT LONG",1,4,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,22
"NEWSPRINT SHORT",1,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,10,0,0,19
NOTEBOOK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12
"PAPER CLIP SMALL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PENCIL MONGOL",0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,3,1,0,16
"PENTEL PEN BLACK",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,2,1,5,6,0,0,0,2,0,0,0,0,0,1,0,9,1,0,27
"PILOT BX-V5 SIGNPEN BLUE",0,1,2,0,0,0,0,0,3,0,0,0,0,1,0,1,0,10,0,0,18
"PILOT BX-V5 SIGNPEN GREEN",0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,6
"PILOT BX-V5 SIGNPEN PURPLE",1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,6
SCISSOR,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,4
"STABILO BLUE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"STABILO GREEN",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
"STABILO PINK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO YELLOW",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,3,0,0,10,0,0,0,0,2,0,0,0,0,0,1,0,6,1,0,23
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
"TAPE SCOTCH 1'",0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"TRANSMITTAL SHEET",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,67,57,16,14,75,87,4,5,4017,33,20,28,56,2,5,88,30,132,14,2,4752
