"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1454639801"," 2016-1454638939"," 2016-1454634043"," 0881-1454580881"," 2696-1454552696"," 8742-1454548742"," 6683-1454546683"," 9540-1454489540"," 6541-1454486541"," 9480-1454399480"," 9055-1454399055"," 8785-1454398785"," 1646-1454381646"," 7462-1454377462"," 2016-1446769356"," Total"
"LOG BOOK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"MEMO PAD",0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,5
"NEWSPRINT LONG",0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,15
"NEWSPRINT SHORT",2,0,0,0,0,0,0,5,0,0,10,0,0,0,0,17
NOTEBOOK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP SMALL",0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,4
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"PENTEL PEN BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,12,0,0,2,0,0,2,0,0,0,0,0,16
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,13
"PILOT BX-V5 SIGNPEN GREEN",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
RULER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"STABILO PINK",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
"STABILO YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4
"STAPLER #35 ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TAPE DISPENSER BIG",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,25,0,7,5,0,0,0,37
"TAPE SCOTCH 1'",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
"TRANSMITTAL SHEET",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,7,5,2,81,12,6,12,58,25,31,63,66,5,5,10,388
