"Reordering Point Report (Mar 1 2017 to Jul 31 2017)"
"Item Name"," Quantity Last Mar 1 2017"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"PENCIL MONGOL"," 488"," 600"," 31"," +569"," 1057"," "," 120"," 240"
"PENTEL PEN BLACK"," 346"," 300"," 4"," +296"," 642"," "," 150"," 250"
"PENTEL PEN BLUE"," 547"," 0"," 0"," 0"," 547"," "," 150"," 250"
"PENTEL PEN RED"," 498"," 0"," 0"," 0"," 498"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 382"," 0"," 10"," -10"," 372"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 395"," 0"," 1"," -1"," 394"," "," 100"," 150"
"PENTEL PEN WB RED"," 603"," 0"," 1"," -1"," 602"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 6661"," 0"," 62"," -62"," 6599"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 3878"," 0"," 67"," -67"," 3811"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 1670"," 0"," 0"," 0"," 1670"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 1450"," 0"," 0"," 0"," 1450"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 3450"," 0"," 34"," -34"," 3416"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 625"," 0"," 0"," 0"," 625"," "," 150"," 250"
PUNCHER," 231"," 0"," 2"," -2"," 229"," "," 100"," 150"
"RUBBER BAND BIG"," 1185"," 100"," 0"," +100"," 1285"," "," 100"," 150"
"RUBBER BAND SMALL"," 861"," 0"," 34"," -34"," 827"," "," 150"," 250"
RULER," 226"," 0"," 2"," -2"," 224"," "," 100"," 150"
SCISSOR," 265"," 0"," 11"," -11"," 254"," "," 100"," 150"
"STABILO BLUE"," 684"," 0"," 8"," -8"," 676"," "," 100"," 150"
"STABILO GREEN"," 661"," 0"," 11"," -11"," 650"," "," 100"," 150"
"STABILO ORANGE"," 661"," 0"," 7"," -7"," 654"," "," 100"," 150"
"STABILO PINK"," 896"," 0"," 1"," -1"," 913"," "," 100"," 150"
"STABILO YELLOW"," 848"," 0"," 10"," -10"," 838"," "," 100"," 150"
"Stamp Pad Ink"," 0"," 150"," 0"," +150"," 150"," "," 25"," 50"
"Stamp Pad Ink - Black"," 0"," 150"," 4"," +146"," 146"," "," 25"," 50"
"STAMP PAD INK BLUE"," 63"," 0"," 7"," -7"," 56"," Need to Request"," 100"," 150"
"STAPLE WIRE BIG"," 1747"," 1000"," 83"," +917"," 2664"," "," 200"," 400"
"STAPLER #35 "," 312"," 0"," 0"," 0"," 312"," "," 50"," 100"
"TAPE DISPENSER BIG"," 67"," 0"," 1"," -1"," 66"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 196"," 0"," 0"," 0"," 196"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 204"," 0"," 0"," 0"," 204"," "," 100"," 150"
"TAPE MASKING"," 121"," 0"," 20"," -20"," 101"," Need to Request"," 150"," 250"
"TAPE MASKING 1"," 701"," 350"," 5"," +345"," 1046"," "," 100"," 250"
"TAPE PACKING 2'"," 1291"," 400"," 96"," +304"," 1595"," "," 150"," 250"
"TAPE SCOTCH 1'"," 1095"," 1500"," 180"," +1320"," 2415"," "," 150"," 350"
"TRANSMITTAL SHEET"," 374"," 0"," 0"," 0"," 374"," "," 150"," 350"
"TRASH CAN"," 122"," 0"," 0"," 0"," 122"," "," 100"," 150"
