"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1457666380"," 2016-1457666217"," 2016-1457664866"," 2498-1457572498"," 2246-1457512246"," 1511-1457511511"," 4357-1457494357"," 7252-1457417252"," 6795-1457406795"," 2016-1457340673"," 2016-1457335356"," 2016-1456989547"," Total"
DVDR,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE LONG",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,100,0,0,100
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK CYAN T6642",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON INK YELLOW T6644",0,0,0,0,0,0,0,0,0,0,0,0,0
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",1,0,0,0,0,8,0,0,0,0,0,0,9
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,0,30,0,0,0,10,100,0,0,0,0,140
"FOLDER SHORT",0,0,0,0,0,0,10,0,0,0,0,0,10
"GLUE ",0,0,0,0,0,0,0,0,0,2,0,0,2
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,1,0,0,1
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,1,0,0,1
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,2,0,0,2
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,1,0,0,1
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,1,0,0,0,0,0,0,1
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",1,0,0,0,0,8,1,0,1,0,0,0,11
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,1500,1000,0,1000,0,0,3500
"LOG BOOK",0,0,0,0,0,0,0,0,0,3,0,0,3
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,1,5,0,0,1,10,0,17
"NEWSPRINT LONG",0,0,0,0,10,10,0,0,0,0,0,0,20
"NEWSPRINT SHORT",0,0,0,0,0,10,0,0,0,0,0,5,15
NOTEBOOK,0,1,0,0,0,2,0,0,0,0,0,0,3
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,1,0,0,0,0,0,0,1
"PAPER CLIP BIG",0,0,0,0,0,0,0,0,10,0,3,3,16
"PAPER CLIP SMALL",1,0,0,0,0,0,0,0,10,0,2,2,15
"PENCIL MONGOL",0,1,0,0,0,0,0,0,0,5,0,0,6
"PENTEL PEN BLACK",0,0,0,0,0,2,0,0,0,2,5,0,9
"PENTEL PEN BLUE",0,0,0,0,0,1,0,0,0,2,0,0,3
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,2,0,0,2
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,2,0,0,0,2
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,1,0,0,0,9,4,0,0,4,10,0,28
"PILOT BX-V5 SIGNPEN BLUE",0,1,0,0,0,17,3,2,0,2,10,0,35
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,5,0,0,5
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,2,0,2,0,4,8
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,1,0,0,0,10,0,2,0,0,0,2,15
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,4,0,5,0,0,0,0,9
"RUBBER BAND SMALL",0,0,0,0,0,3,0,5,0,0,0,0,8
RULER,0,1,0,0,0,0,0,0,0,0,0,0,1
SCISSOR,0,0,0,0,0,0,0,0,0,1,2,0,3
"STABILO BLUE",0,1,0,0,0,2,0,0,1,2,2,0,8
"STABILO GREEN",0,1,0,0,0,2,0,0,2,0,2,0,7
"STABILO ORANGE",0,1,0,0,0,1,0,0,0,0,2,0,4
"STABILO PINK",0,1,0,0,0,1,0,0,2,2,2,0,8
"STABILO YELLOW",0,1,0,0,0,2,0,0,0,1,2,0,6
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,1,0,2,0,3
"STAPLE WIRE BIG",0,1,0,0,0,0,0,5,0,2,0,4,12
"STAPLER #35 ",0,1,0,0,0,0,0,0,0,0,0,0,1
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,3,0,0,10,0,0,0,0,0,0,13
"TAPE SCOTCH 1'",0,0,5,0,0,10,2,0,0,15,5,0,37
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,20,0,20
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0
Total,13,19,38,4,10,158,1549,1147,64,1188,89,31,4310
