"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2177-1450402177"," 2015-1450330206"," 2015-1450329796"," 2015-1450329129"," 2015-1450315574"," 2015-1450256826"," 2015-1450243832"," 2015-1450234996"," 2015-1450158162"," 2015-1450148493"," 2015-1450145770"," 2015-1450143254"," 2015-1450081761"," 2015-1449824597"," 2015-1449821767"," Total"
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,8
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,45
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,14
"NEWSPRINT SHORT",2,0,5,0,0,0,0,0,0,4,0,6,0,0,0,17
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,5
"PAPER CLIP SMALL",2,0,0,1,0,0,0,0,0,0,0,3,0,1,0,7
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,7
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,7
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,5
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"STABILO GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"STABILO PINK",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"STABILO YELLOW",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,1,0,0,0,0,0,0,5,3,0,1,0,10
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,40,101,82,52,24,6,5,2,1,44,26,91,80,145,80,779
