"Daily Approved Request Report from 8:30am to 3:00pm (Aug 24 2015)"
Item," 2015-1440384140"," 2015-1440382221"," 2015-1440382052"," 2015-1440381063"," 2015-1440053438"," Total"
"HP INK 920XL MAGENTA",0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0
"HP TONER 125 BLACK",0,0,0,0,0,0
"HP TONER 125 CYAN",0,0,0,0,0,0
"HP TONER 125 MAGENTA",0,0,0,0,0,0
"HP TONER 125 YELLOW",0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0
"HP TONER 85A",0,0,0,0,0,0
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0
"LETTER ENVELOPE",4000,0,0,0,0,4000
"LETTER HEAD",0,0,0,3000,0,3000
LOGBOOK,1,0,0,0,0,1
"MAGAZINE FILE",0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0
"NEWSPRINT LONG",0,0,0,0,0,0
"NEWSPRINT SHORT",0,2,0,0,0,2
NOTEBOOK,0,0,1,0,0,1
NOTEBOOK,0,0,0,0,0,0
"PAPER CLIP BIG",3,0,0,0,0,3
"PAPER CLIP SMALL",0,0,0,0,1,1
"PENCIL MONGOL",0,0,0,0,0,0
"PENTEL PEN BLACK",0,0,0,0,0,0
"PENTEL PEN BLUE",0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,3,0,3
"PILOT BX-V5 SIGNPEN BLUE",1,0,0,3,0,4
"PILOT BX-V5 SIGNPEN GREEN",1,0,0,2,0,3
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,2,0,0,0,2
PUNCHER,0,0,2,0,0,2
"RUBBER BAND BIG",0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0
RULER,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,0,0
"STABILO ORANGE",0,0,0,0,0,0
"STABILO PINK",0,0,0,0,0,0
"STABILO YELLOW",0,0,0,0,0,0
"STAMP PAD INK BLUE",0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0
"STAPLER #35 ",0,0,2,0,0,2
"TAPE DISPENSER BIG",0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,10,10
"TAPE PACKING 2'",0,0,0,0,0,0
"TAPE SCOTCH 1'",0,4,0,0,0,4
"TRANSMITTAL SHEET",0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0
Total,4017,14,7,3017,28,7083
