"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1460947655"," 2016-1460938957"," 2016-1460937710"," 2016-1460509384"," 2016-1460001287"," 2016-1459996089"," 2016-1459995956"," 2016-1459995063"," 2016-1459990840"," 2016-1459908336"," 2016-1459904036"," 2016-1459836323"," 1661-1459471661"," 1490-1459471490"," 0883-1459390883"," 0732-1459390732"," 2016-1459321033"," 2016-1459319206"," 2016-1459317878"," Total"
"PAPER CLIP SMALL",0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,6
"PENCIL MONGOL",0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,7
"PENTEL PEN BLACK",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",1,0,0,0,6,0,1,2,1,0,2,10,0,1,0,0,0,0,0,24
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,16
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,17
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SCISSOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"STABILO GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"STABILO ORANGE",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"STABILO PINK",1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
"STABILO YELLOW",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,0,0,1,0,0,8,0,2,0,1,0,1,2,15
"STAPLER #35 ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,10,25,50
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,25,20,2,2,1012,30,32,38,7,10,6,228,21,35,21,4,6,14,91,1604
