"Reordering Point Report (May 1 2016 to Dec 29 2016)"
"Item Name"," Quantity Last May 1 2016"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"HP TONER 125 (CB542A) YELLOW"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 125 (CB543A) MAGENTA"," 105"," 0"," 0"," 0"," 105"," "," 100"," 150"
"HP TONER 12A"," 47"," 50"," 18"," +32"," 79"," Need to Request"," 100"," 150"
"HP TONER 305 BLACK"," 12"," 0"," 0"," 0"," 12"," Need to Request"," 100"," 150"
"HP TONER 305 CYAN"," 16"," 0"," 0"," 0"," 16"," Need to Request"," 100"," 150"
"HP TONER 305 MAGENTA"," 18"," 0"," 0"," 0"," 18"," Need to Request"," 100"," 150"
"HP TONER 305 YELLOW"," 15"," 0"," 0"," 0"," 15"," Need to Request"," 100"," 150"
"HP TONER 35A"," 17"," 30"," 18"," +12"," 29"," Need to Request"," 100"," 150"
"HP TONER 36A"," 111"," 0"," 1"," -1"," 110"," "," 100"," 150"
"HP TONER 53A"," 59"," 0"," 6"," -6"," 53"," Need to Request"," 100"," 150"
"HP TONER 80A "," 88"," 0"," 13"," -13"," 75"," Need to Request"," 150"," 200"
"HP TONER 85A"," 328"," 502"," 231"," +271"," 598"," "," 150"," 250"
"HP TONER CARTRIDGE 78A"," 77"," 0"," 11"," -11"," 66"," "," 50"," 150"
"LETTER ENVELOPE"," 29046"," 0"," 2720"," -2720"," 26326"," "," 500"," 2000"
"LETTER HEAD"," 38692"," 115001"," 16452"," +98549"," 137241"," "," 500"," 2500"
"LOG BOOK"," 897"," 0"," 48"," -48"," 849"," "," 150"," 300"
LOGBOOK," 72"," 0"," 0"," 0"," 72"," "," 50"," 150"
"MAGAZINE FILE"," 504"," 120"," 16"," +104"," 608"," "," 100"," 200"
"MEMO PAD"," 1805"," 0"," 99"," -99"," 1706"," "," 150"," 250"
"NEWSPRINT LONG"," 510"," 688"," 220"," +468"," 977"," "," 150"," 250"
"NEWSPRINT SHORT"," 504"," 464"," 259"," +205"," 709"," "," 150"," 250"
NOTEBOOK," 1199"," 0"," 36"," -36"," 1163"," "," 50"," 250"
NOTEBOOK," 474"," 0"," 24"," -24"," 450"," "," 0"," 0"
"OPTICAL MOUSE "," 240"," 0"," 9"," -9"," 231"," "," 0"," 0"
"PAPER CLIP BIG"," 696"," 0"," 95"," -95"," 601"," "," 150"," 250"
"PAPER CLIP SMALL"," 603"," 0"," 54"," -54"," 549"," "," 150"," 250"
"PENCIL MONGOL"," 567"," 0"," 79"," -79"," 488"," "," 120"," 240"
"PENTEL PEN BLACK"," 360"," 0"," 14"," -14"," 346"," "," 150"," 250"
"PENTEL PEN BLUE"," 547"," 0"," 0"," 0"," 547"," "," 150"," 250"
"PENTEL PEN RED"," 498"," 0"," 0"," 0"," 498"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 410"," 0"," 26"," -26"," 384"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 403"," 0"," 8"," -8"," 395"," "," 100"," 150"
"PENTEL PEN WB RED"," 606"," 0"," 3"," -3"," 603"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 6894"," 0"," 233"," -233"," 6661"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 4070"," 0"," 192"," -192"," 3878"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 1758"," 0"," 88"," -88"," 1670"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 1509"," 0"," 59"," -59"," 1450"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 625"," 0"," 0"," 0"," 625"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 3566"," 0"," 116"," -116"," 3450"," "," 150"," 250"
PUNCHER," 239"," 0"," 8"," -8"," 231"," "," 100"," 150"
"RUBBER BAND BIG"," 1188"," 0"," 3"," -3"," 1185"," "," 100"," 150"
"RUBBER BAND SMALL"," 899"," 0"," 31"," -31"," 868"," "," 150"," 250"
RULER," 247"," 0"," 20"," -20"," 227"," "," 100"," 150"
SCISSOR," 285"," 0"," 19"," -19"," 266"," "," 100"," 150"
"STABILO BLUE"," 699"," 0"," 15"," -15"," 684"," "," 100"," 150"
"STABILO GREEN"," 681"," 0"," 17"," -17"," 664"," "," 100"," 150"
"STABILO ORANGE"," 677"," 0"," 13"," -13"," 664"," "," 100"," 150"
"STABILO PINK"," 917"," 0"," 19"," -19"," 916"," "," 100"," 150"
"STABILO YELLOW"," 887"," 0"," 30"," -30"," 857"," "," 100"," 150"
"STAMP PAD INK BLUE"," 76"," 0"," 13"," -13"," 63"," Need to Request"," 100"," 150"
"STAPLE WIRE BIG"," 1863"," 0"," 116"," -116"," 1747"," "," 200"," 400"
"STAPLER #35 "," 325"," 0"," 13"," -13"," 312"," "," 50"," 100"
"TAPE DISPENSER BIG"," 74"," 0"," 7"," -7"," 67"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 196"," 0"," 0"," 0"," 196"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 204"," 0"," 0"," 0"," 204"," "," 100"," 150"
"TAPE MASKING"," 123"," 0"," 2"," -2"," 121"," Need to Request"," 150"," 250"
"TAPE MASKING 1"," 713"," 0"," 12"," -12"," 701"," "," 100"," 250"
"TAPE PACKING 2'"," 1388"," 0"," 78"," -78"," 1310"," "," 150"," 250"
"TAPE SCOTCH 1'"," 1310"," 0"," 215"," -215"," 1095"," "," 150"," 350"
"TRANSMITTAL SHEET"," 398"," 0"," 24"," -24"," 374"," "," 150"," 350"
"TRASH CAN"," 129"," 0"," 7"," -7"," 122"," "," 100"," 150"
