"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1453254223"," 2016-1453252232"," 2016-1453182115"," 2016-1453180399"," 2016-1453171865"," 2016-1453168006"," 2016-1453109218"," 2016-1453108765"," 2016-1453084651"," 2016-1453083095"," 2016-1452739812"," 2016-1452677028"," 2016-1452653424"," Total"
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",2,0,0,0,0,0,3,0,0,0,0,10,12,27
"PILOT BX-V5 SIGNPEN BLUE",2,0,0,0,0,0,3,0,0,0,0,10,14,29
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,1,0,0,0,0,0,3,1,5
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,0,2,6,8
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,1,0,0,0,0,0,0,0,1
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,0,0,2,2
"STABILO GREEN",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"STABILO PINK",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"STABILO YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,1,0,0,0,0,10,0,11
"STAPLER #35 ",1,3,0,0,0,0,0,0,0,0,0,0,1,5
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",1,0,0,6,0,3,2,3,0,0,0,20,14,49
"TRANSMITTAL SHEET",1,0,0,0,0,0,0,0,0,0,0,0,6,7
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,12,3,6,19,4,5,33,4,50,6,3,130,176,451
