"Consumption Report (Mar 20 2015 to Apr 20 2016)"
Item," AP1"," AP2"," AR DOCS"," AR RENTALS"," AR SALES"," ADMIN"," AMD-OVP"," AMD-PREFERRED"," AMD-PREMIER"," AMD-PRESTIGE"," AMD-PROMINENT"," AMD-RENTALS"," AMD-TRAINING"," AMG"," AUDIT"," CRG"," CMG"," ERP"," FAG"," AP (SUBSIDIARIES)"," CONSOLIDATION"," GA (MEGAWORLD)"," GA (SUBSIDIARIES)"," PAYROLL"," IT"," LIBRARY"," MIG"," MKTG5"," MCD"," MSG-ACCOUNTING"," MSG-TREASURY"," CONTROLLERSHIP"," ARCHIVES"," TREASURY-28F"," TREASURY-DISBURSEMENT"," TREASURY-RECEIPT"," WHITE OR"," Total"
"CBP BOX "," 0"," 30"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 30"," 390"," 220"," 90"," 4"," 440"," 6"," 0"," 0"," 13"," 0"," 0"," 100"," 0"," 0"," 3"," 0",1337
"CORRECTION TAPE "," 11"," 10"," 23"," 4"," 15"," 9"," 0"," 7"," 0"," 6"," 2"," 13"," 2"," 4"," 0"," 8"," 17"," 0"," 0"," 8"," 1"," 1"," 8"," 2"," 3"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 16"," 0"," 0"," 4"," 0",198
"CORRECTION TAPE REFILL"," 93"," 119"," 40"," 18"," 56"," 1"," 7"," 15"," 14"," 45"," 19"," 21"," 19"," 14"," 0"," 13"," 153"," 0"," 0"," 19"," 2"," 15"," 13"," 0"," 2"," 3"," 3"," 0"," 0"," 5"," 0"," 0"," 44"," 0"," 2"," 75"," 20",873
"DOUBLE CLIP 1"," 22"," 15"," 41"," 24"," 21"," 11"," 0"," 7"," 0"," 20"," 4"," 5"," 0"," 50"," 0"," 4"," 19"," 1"," 0"," 11"," 6"," 13"," 26"," 20"," 0"," 40"," 0"," 0"," 0"," 7"," 0"," 0"," 6"," 0"," 0"," 26"," 0",417
"DOUBLE CLIP 2"," 24"," 18"," 21"," 4"," 13"," 4"," 0"," 3"," 0"," 0"," 3"," 5"," 0"," 8"," 0"," 3"," 48"," 0"," 0"," 2"," 1"," 1"," 12"," 35"," 4"," 20"," 2"," 0"," 0"," 5"," 0"," 0"," 10"," 0"," 0"," 12"," 0",271
"DOUBLE CLIP 3/4"," 18"," 22"," 51"," 38"," 45"," 2"," 0"," 9"," 3"," 5"," 2"," 10"," 0"," 50"," 0"," 5"," 0"," 1"," 0"," 21"," 6"," 10"," 10"," 20"," 5"," 60"," 4"," 0"," 0"," 7"," 0"," 0"," 16"," 0"," 0"," 13"," 0",455
"ENVELOPE EXPANDED"," 50"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1000"," 0"," 25"," 45"," 0"," 0"," 90"," 0"," 25"," 107"," 20"," 35"," 0"," 0"," 0"," 0"," 60"," 0"," 0"," 0"," 0"," 0"," 0"," 0",1462
"ENVELOPE LONG"," 50"," 50"," 0"," 200"," 55"," 15"," 0"," 10"," 0"," 20"," 1020"," 70"," 0"," 5"," 0"," 0"," 2000"," 5"," 0"," 52"," 0"," 20"," 468"," 50"," 30"," 0"," 0"," 0"," 0"," 100"," 0"," 0"," 0"," 0"," 0"," 0"," 100",4375
"ENVELOPE SHORT"," 0"," 55"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 40"," 50"," 50"," 0"," 5"," 0"," 0"," 0"," 5"," 0"," 45"," 0"," 57"," 386"," 100"," 40"," 0"," 0"," 0"," 0"," 45"," 0"," 0"," 0"," 0"," 0"," 0"," 100",1008
"EPSON 8750 RIBBON BLACK "," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0",10
"EPSON BLACK INK T6641"," 0"," 1"," 0"," 4"," 0"," 0"," 0"," 0"," 4"," 14"," 1"," 0"," 0"," 4"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 10"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 23"," 0",67
"EPSON INK CYAN T6642"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 3"," 4"," 1"," 0"," 0"," 1"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 4"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",21
"EPSON INK MAGENTA T6643"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 3"," 4"," 0"," 0"," 0"," 1"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 4"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",20
"EPSON INK YELLOW T6644"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 3"," 4"," 1"," 0"," 0"," 1"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 4"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0",23
"EPSON S015632 RIBBON LX310"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 47"," 0"," 0",47
"FASTENER METAL "," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"FASTENER PLASTIC"," 50"," 57"," 14"," 39"," 160"," 1"," 0"," 0"," 0"," 2"," 7"," 0"," 1"," 20"," 0"," 2"," 10"," 0"," 0"," 14"," 3"," 5"," 22"," 5"," 0"," 100"," 0"," 0"," 0"," 6"," 0"," 0"," 6"," 0"," 5"," 3"," 0",540
"FAX PAPER"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 4"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0",10
"FOLDER GREEN"," 0"," 0"," 130"," 0"," 220"," 20"," 0"," 0"," 10"," 70"," 45"," 3"," 0"," 0"," 0"," 50"," 0"," 3"," 0"," 180"," 30"," 315"," 307"," 280"," 10"," 0"," 7"," 0"," 0"," 117"," 0"," 0"," 0"," 0"," 20"," 300"," 0",2187
"FOLDER LONG"," 0"," 0"," 0"," 0"," 220"," 5"," 2"," 0"," 0"," 5"," 0"," 0"," 30"," 550"," 0"," 45"," 50"," 0"," 0"," 70"," 30"," 5"," 65"," 0"," 20"," 500"," 0"," 0"," 0"," 70"," 0"," 0"," 0"," 0"," 0"," 0"," 15",1808
"FOLDER SHORT"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 50"," 0"," 0"," 45"," 0"," 0"," 0"," 20"," 20"," 0"," 100"," 0"," 30"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 30"," 0",299
"GLUE "," 0"," 22"," 5"," 2"," 0"," 0"," 0"," 4"," 10"," 28"," 8"," 15"," 0"," 0"," 0"," 2"," 10"," 0"," 0"," 3"," 0"," 3"," 3"," 1"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 20",141
"HP 678 BLACK INK CARTRIDGE"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 2"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",10
"HP 678 TRI COLOR INK CARTRIDGE"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 2"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",10
"HP INK 21 BLACK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0",10
"HP INK 22 TRI-COLOR"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0",9
"HP INK 60 BLACK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0",2
"HP INK 60 TRI COLORED"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0",2
"HP INK 703 BLACK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",3
"HP INK 703 TRI-COLOR"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",2
"HP INK 704 BLACK"," 4"," 0"," 0"," 0"," 18"," 0"," 0"," 24"," 0"," 21"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 11"," 0"," 0"," 0"," 0"," 0"," 15"," 0",104
"HP INK 704 COLORED"," 4"," 0"," 0"," 0"," 12"," 0"," 0"," 12"," 0"," 6"," 2"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 11"," 0"," 0"," 0"," 0"," 0"," 5"," 0",67
"HP INK 920XL BLACK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",1
"HP INK 920XL CYAN"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP INK 920XL MAGENTA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP INK 920XL YELLOW"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP INK 932XL BLACK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP INK 933XL CYAN"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP INK 933XL MAGENTA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP INK 933XL YELLOW"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP TONER 05A"," 21"," 14"," 217"," 22"," 65"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 43"," 0"," 0"," 1"," 1"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 12"," 23"," 7",439
"HP TONER 125 (CB540A) BLACK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0",1
"HP TONER 125 (CB541A) CYAN"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0",3
"HP TONER 125 (CB542A) YELLOW"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0",1
"HP TONER 125 (CB543A) MAGENTA"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0",2
"HP TONER 12A"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 2"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 4"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 17"," 0"," 0",44
"HP TONER 305 BLACK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP TONER 305 CYAN"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP TONER 305 MAGENTA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP TONER 305 YELLOW"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"HP TONER 35A"," 0"," 0"," 8"," 18"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 15"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",44
"HP TONER 36A"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",1
"HP TONER 53A"," 0"," 0"," 29"," 0"," 0"," 0"," 0"," 6"," 0"," 1"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0",46
"HP TONER 80A "," 12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",12
"HP TONER 85A"," 36"," 48"," 35"," 46"," 24"," 1"," 0"," 33"," 28"," 128"," 49"," 22"," 4"," 40"," 0"," 13"," 11"," 0"," 0"," 40"," 11"," 37"," 46"," 26"," 4"," 12"," 12"," 0"," 0"," 5"," 0"," 0"," 3"," 0"," 0"," 0"," 0",720
"HP TONER CARTRIDGE 78A"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 10"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 9"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0",23
"LETTER ENVELOPE"," 0"," 25"," 0"," 80"," 1"," 0"," 0"," 0"," 22"," 0"," 58"," 5700"," 0"," 500"," 0"," 8"," 1000"," 0"," 0"," 20"," 0"," 0"," 30"," 0"," 5"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0",7454
"LETTER HEAD"," 500"," 500"," 0"," 0"," 2003"," 0"," 0"," 18"," 6010"," 17762"," 21000"," 2105"," 0"," 0"," 0"," 6"," 1222"," 0"," 0"," 0"," 20"," 0"," 0"," 1000"," 10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 50"," 0",52306
"LOG BOOK"," 2"," 10"," 3"," 0"," 2"," 4"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 6"," 0"," 0"," 13"," 1"," 0"," 1"," 2"," 0"," 13"," 35"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 5"," 0",103
LOGBOOK," 5"," 0"," 2"," 2"," 9"," 6"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 2"," 0"," 0"," 4"," 0"," 0"," 11"," 5"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0",58
"MAGAZINE FILE"," 0"," 0"," 2"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 35"," 0"," 0"," 6"," 0"," 0"," 40"," 10"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 0"," 16"," 72"," 0",196
"MEMO PAD"," 5"," 12"," 6"," 13"," 1"," 0"," 0"," 8"," 13"," 14"," 23"," 18"," 8"," 1"," 0"," 10"," 23"," 4"," 4"," 9"," 3"," 0"," 4"," 0"," 24"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 2"," 0",214
"NEWSPRINT LONG"," 255"," 98"," 0"," 2"," 5"," 3"," 0"," 0"," 0"," 15"," 0"," 0"," 0"," 60"," 0"," 0"," 0"," 0"," 0"," 32"," 11"," 24"," 158"," 44"," 0"," 0"," 0"," 0"," 0"," 27"," 0"," 0"," 0"," 0"," 57"," 10"," 0",828
