"Daily Approved Request Report from 12:00am to 11:59pm (Jul 14 2017)"
Item," 2017-1499996060 (2013-11-N445 - AP1)"," 2017-1499942874 (2007-03-M358 - ADMIN)"," 2017-1499925303 (2012-03-U294 - AR RENTALS)"," 2017-1499913246 (2007-03-M358 - ADMIN)"," 2017-1499913150 (2007-03-M358 - ADMIN)"," 2017-1499905319 (2010-08-V582 - AMD-PRESTIGE2)"," 2017-1499904908 (2007-03-M358 - ADMIN)"," 2017-1499841214 (2013-08-n289 - CRG)"," 2017-1499762145 (2010-08-V582 - AMD-PRESTIGE2)"," 2017-1499320235 (2010-08-V582 - AMD-PRESTIGE2)"," 2017-1499214506 (2010-08-V582 - AMD-PRESTIGE2)"," Total"
"DOUBLE CLIP 3/4",0,0,0,0,0,0,0,0,0,0,0,0
DVD-RW,0,0,0,0,0,0,0,0,0,0,0,0
DVDR,0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE EXPANDED",0,0,0,0,0,0,0,0,0,0,0,0
"ENVELOPE LONG",0,15,0,0,0,0,0,0,0,0,0,15
"ENVELOPE SHORT",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON 8750 RIBBON BLACK ",0,0,0,0,0,0,0,0,0,0,0,0
"EPSON BLACK INK T6641",0,0,0,0,0,0,1,0,0,0,0,1
"EPSON INK CYAN T6642",0,0,0,0,0,0,1,0,0,0,0,1
"EPSON INK MAGENTA T6643",0,0,0,0,0,0,1,0,0,0,0,1
"EPSON INK YELLOW T6644",0,0,0,0,0,0,1,0,0,0,0,1
"EPSON S015632 RIBBON LX310",0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,1,10,0,0,0,0,0,0,0,0,11
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0
"File Tray",0,0,0,0,0,0,0,10,0,0,0,10
"FOLDER GREEN",0,0,0,0,30,0,0,0,0,0,0,30
"FOLDER LONG",0,0,0,100,0,0,0,0,0,0,0,100
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,0,0,0,0,0,1,0,1
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",3,0,0,0,0,0,0,0,0,0,0,3
"HP INK 704 COLORED",1,0,0,0,0,0,0,0,0,0,0,1
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",5,0,0,0,0,0,0,0,0,0,0,5
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",5,0,0,0,0,0,0,0,0,0,0,5
"HP TONER 85A",5,0,0,0,0,0,0,1,3,0,0,9
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,1000,0,0,0,1000
"LOG BOOK",2,0,0,0,0,0,0,0,0,2,0,4
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,1,0,1
"MEMO PAD",0,1,0,0,0,0,0,10,0,0,0,11
"METAL FILE TRAY - 3 LAYERS",0,0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",10,0,0,0,0,0,0,0,0,0,0,10
"NEWSPRINT SHORT",0,1,0,0,0,0,0,0,3,0,5,9
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,0,5,0,0,0,5
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,0,0,0,5,0,0,0,5
"PAPER CLIP SMALL",0,0,0,0,0,0,0,5,0,0,0,5
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,0,0,0,0,0,0,5,0,0,0,5
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,0,1,0,0,4,2,0,7
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,0,3,0,0,4,2,0,9
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,1,0,1
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,1,0,0,0,0,0,0,0,1,0,2
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,0,0,0,0,0,1,0,1
"STABILO ORANGE",0,0,0,0,0,0,0,5,0,1,0,6
"STABILO PINK",0,0,0,0,0,0,0,5,0,0,0,5
"STABILO YELLOW",0,0,0,0,0,0,0,5,0,1,0,6
"Stamp Pad Ink",0,0,0,0,0,0,0,0,0,0,0,0
"Stamp Pad Ink - Black",0,0,0,0,0,0,0,0,0,0,0,0
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,0,0,3,0,0,3
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1",10,0,0,0,0,0,0,0,0,0,0,10
"TAPE PACKING 2'",10,0,0,0,0,0,0,0,0,0,0,10
"TAPE SCOTCH 1'",10,2,0,0,0,0,0,0,3,0,0,15
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0
Total,116,28,10,101,34,8,4,1080,34,17,8,1440
