"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1459311035"," 2016-1459238880"," 2016-1459238819"," 2016-1459213532"," 2016-1459212917"," 2016-1459211442"," 2016-1459147132"," 2016-1459143229"," 2016-1459135943"," 2016-1459132253"," 2016-1459130244"," 2016-1458700137"," 2016-1458698670"," 2016-1458630104"," 2016-1458615506"," 2187-1458522187"," 2016-1458184944"," 2016-1458177580"," 2016-1457934981"," Total"
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,200
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
"LOG BOOK",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6
"NEWSPRINT LONG",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"NEWSPRINT SHORT",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
"PAPER CLIP SMALL",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"PENCIL MONGOL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"PENTEL PEN BLACK",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,18
"PILOT BX-V5 SIGNPEN BLUE",0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,15
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13
PUNCHER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND SMALL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RULER,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SCISSOR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"STABILO BLUE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"STABILO GREEN",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"STABILO ORANGE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"STABILO PINK",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"STABILO YELLOW",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,6
"STAPLER #35 ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
"TAPE DISPENSER BIG",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,10
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TRANSMITTAL SHEET",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,5
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,5,1,29,3,19,5,269,7,4,4,2,6,4,1,1,5,9,111,124,609
