"Reordering Point Report "
"Item Name"," Quantity Last Dec 20 2015"," In"," Out"," Difference"," Stock on Hand"," Remarks"," Reorder Quantity"," Standard Order Quantity"
"LETTER ENVELOPE"," 29659"," 0"," 0"," 0"," 29659"," "," 500"," 2000"
"LETTER HEAD"," 13894"," 0"," 0"," 0"," 13894"," "," 500"," 2500"
"LOG BOOK"," 960"," 0"," 1"," -1"," 959"," "," 150"," 300"
LOGBOOK," 49"," 0"," 7"," -7"," 42"," Need to Request"," 50"," 150"
"MAGAZINE FILE"," 390"," 204"," 7"," +197"," 587"," "," 100"," 200"
"MEMO PAD"," 1852"," 0"," 6"," -6"," 1846"," "," 150"," 250"
"NEWSPRINT LONG"," 373"," 175"," 42"," +133"," 506"," "," 150"," 250"
"NEWSPRINT SHORT"," 390"," 175"," 67"," +108"," 498"," "," 150"," 250"
NOTEBOOK," 1224"," 0"," 3"," -3"," 1221"," "," 50"," 250"
NOTEBOOK," 474"," 0"," 0"," 0"," 474"," "," 0"," 0"
"OPTICAL MOUSE "," 244"," 0"," 1"," -1"," 243"," "," 0"," 0"
"PAPER CLIP BIG"," 799"," 0"," 28"," -28"," 771"," "," 150"," 250"
"PAPER CLIP SMALL"," 517"," 0"," 23"," -23"," 494"," "," 150"," 250"
"PENCIL MONGOL"," 408"," 0"," 14"," -14"," 394"," "," 120"," 240"
"PENTEL PEN BLACK"," 202"," 120"," 16"," +104"," 306"," "," 150"," 250"
"PENTEL PEN BLUE"," 351"," 0"," 2"," -2"," 349"," "," 150"," 250"
"PENTEL PEN RED"," 300"," 0"," 2"," -2"," 298"," "," 100"," 150"
"PENTEL PEN WB BLACK"," 416"," 0"," 2"," -2"," 414"," "," 100"," 150"
"PENTEL PEN WB BLUE"," 406"," 0"," 1"," -1"," 405"," "," 100"," 150"
"PENTEL PEN WB RED"," 606"," 0"," 0"," 0"," 606"," "," 100"," 150"
"PILOT BX-V5 SIGNPEN BLACK"," 7143"," 0"," 57"," -57"," 7086"," "," 150"," 300"
"PILOT BX-V5 SIGNPEN BLUE"," 4260"," 0"," 55"," -55"," 4205"," "," 150"," 350"
"PILOT BX-V5 SIGNPEN GREEN"," 745"," 0"," 24"," -24"," 721"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN PURPLE"," 539"," 0"," 52"," -52"," 487"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 625"," 0"," 0"," 0"," 625"," "," 150"," 250"
"PILOT BX-V5 SIGNPEN RED"," 3394"," 0"," 37"," -37"," 3357"," "," 150"," 250"
PUNCHER," 240"," 0"," 1"," -1"," 239"," "," 100"," 150"
"RUBBER BAND BIG"," 246"," 0"," 6"," -6"," 240"," "," 100"," 150"
"RUBBER BAND SMALL"," 301"," 0"," 6"," -6"," 295"," "," 150"," 250"
RULER," 251"," 0"," 1"," -1"," 250"," "," 100"," 150"
SCISSOR," 165"," 0"," 2"," -2"," 163"," "," 100"," 150"
"STABILO BLUE"," 466"," 0"," 7"," -7"," 459"," "," 100"," 150"
"STABILO GREEN"," 451"," 0"," 9"," -9"," 442"," "," 100"," 150"
"STABILO ORANGE"," 455"," 0"," 9"," -9"," 446"," "," 100"," 150"
"STABILO PINK"," 458"," 0"," 14"," -14"," 462"," "," 100"," 150"
"STABILO YELLOW"," 425"," 0"," 20"," -20"," 405"," "," 100"," 150"
"STAMP PAD INK BLUE"," 96"," 0"," 10"," -10"," 86"," Need to Request"," 100"," 150"
"STAPLE WIRE BIG"," 2004"," 0"," 33"," -33"," 1971"," "," 200"," 400"
"STAPLER #35 "," 339"," 0"," 4"," -4"," 335"," "," 50"," 100"
"TAPE DISPENSER BIG"," 72"," 0"," 1"," -1"," 71"," Need to Request"," 100"," 150"
"TAPE DOUBLE ADHESIVE WITH FOAM"," 199"," 0"," 3"," -3"," 196"," "," 100"," 150"
"TAPE DOUBLE ADHESIVE WITHOUT FOAM"," 210"," 0"," 0"," 0"," 210"," "," 100"," 150"
"TAPE MASKING"," 154"," 0"," 0"," 0"," 154"," "," 150"," 250"
"TAPE MASKING 1"""," 270"," 0"," 18"," -18"," 252"," "," 100"," 250"
"TAPE PACKING 2'"," 36"," 0"," 0"," 0"," 36"," Need to Request"," 150"," 250"
"TAPE SCOTCH 1'"," 314"," 500"," 10"," +490"," 804"," "," 150"," 350"
"TRANSMITTAL SHEET"," 413"," 0"," 0"," 0"," 413"," "," 150"," 350"
"TRASH CAN"," 129"," 0"," 0"," 0"," 129"," "," 100"," 150"
