"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1461232985"," 2016-1461205586"," 2016-1461130712"," 2016-1461124049"," 2016-1461123643"," 2016-1461120308"," 2016-1461051224"," 2016-1461050646"," 2016-1461050331"," 2016-1461050100"," 2016-1461049673"," 2016-1461035590"," 2016-1461030104"," 2016-1461027718"," 2016-1461026976"," 2016-1460967714"," 2016-1460942134"," 2016-1460701770"," 2016-1460701542"," 2016-1460429051"," Total"
"FASTENER METAL ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FASTENER PLASTIC",0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,8
"FAX PAPER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOLDER SHORT",0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,24
"GLUE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HP INK 704 COLORED",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER CARTRIDGE 78A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LETTER ENVELOPE",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"LETTER HEAD",0,0,0,0,0,0,1000,0,0,4,1,0,0,0,0,0,0,0,0,0,1005
"LOG BOOK",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEWSPRINT LONG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,10
"NEWSPRINT SHORT",0,0,0,0,0,4,1,0,0,0,2,5,0,0,0,0,0,4,0,8,24
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"PAPER CLIP BIG",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"PAPER CLIP SMALL",0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,2,0,2,2,0,2,3,0,0,0,0,0,0,0,0,2,13
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,3,0,2,2,2,2,3,5,0,0,0,0,0,0,0,5,24
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,9
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,4,9
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RUBBER BAND SMALL",0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,8
RULER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO GREEN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STABILO ORANGE",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"STABILO PINK",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"STABILO YELLOW",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"STAPLE WIRE BIG",0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,7
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,2,1,52,5,31,32,1127,45,6,17,28,15,27,10,5,13,1,8,35,63,1523
