"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2015-1449621121"," 4505-1449564505"," 0351-1449550351"," 1150-1449541150"," 7777-1449537777"," 0495-1449450495"," 0348-1449450348"," 2015-1449195941"," 6342-1448606342"," 2015-1445997144"," 2015-1444300803"," Total"
"FOLDER SHORT",0,0,0,0,0,0,0,0,0,0,0,0
"GLUE ",0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 BLACK INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0
"HP 678 TRI COLOR INK CARTRIDGE",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 21 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 22 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 60 TRI COLORED",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 703 TRI-COLOR",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 704 BLACK",0,0,0,0,0,0,0,0,0,1,0,1
"HP INK 704 COLORED",0,0,0,0,0,0,0,0,0,1,2,3
"HP INK 920XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,3,2,0,0,0,5
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",0,0,0,0,0,0,0,0,0,0,0,0
"HP TONER 80A ",0,0,0,2,0,0,0,0,0,0,0,2
"HP TONER 85A",0,2,0,0,0,0,0,0,0,0,0,2
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,0,0,0,0,0
"LETTER ENVELOPE",0,0,0,0,0,0,0,0,0,0,0,0
"LETTER HEAD",0,0,0,0,0,0,0,0,0,0,0,0
"LOG BOOK",0,0,0,0,0,0,0,0,0,0,0,0
LOGBOOK,0,0,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,11,0,0,0,0,0,0,0,0,0,11
"MEMO PAD",0,0,0,0,6,0,0,0,0,0,0,6
"NEWSPRINT LONG",0,2,0,0,0,0,0,0,0,0,0,2
"NEWSPRINT SHORT",0,0,0,0,0,0,0,5,0,0,0,5
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL MOUSE ",0,0,0,0,0,0,0,0,0,0,0,0
"PAPER CLIP BIG",0,0,0,0,1,0,10,0,0,0,0,11
"PAPER CLIP SMALL",0,0,0,0,0,0,0,0,0,0,0,0
"PENCIL MONGOL",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN BLACK",0,2,0,0,0,0,2,0,0,0,0,4
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,0,0,0,5,2,0,0,0,0,0,7
"PILOT BX-V5 SIGNPEN BLUE",0,2,0,0,3,0,2,0,0,0,0,7
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,3,0,0,0,3
"PILOT BX-V5 SIGNPEN PURPLE",0,2,0,0,2,0,0,0,0,0,0,4
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0,0,0
PUNCHER,0,0,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",10,0,0,0,0,0,0,0,0,0,0,10
"RUBBER BAND SMALL",10,0,0,0,0,0,0,0,2,0,0,12
RULER,0,0,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,1,0,0,0,0,0,0,1
"STABILO BLUE",0,0,0,0,0,0,0,1,0,0,0,1
"STABILO GREEN",0,0,0,0,3,0,0,0,0,0,0,3
"STABILO ORANGE",0,0,0,0,0,0,0,0,0,0,0,0
"STABILO PINK",0,0,0,0,0,0,1,0,0,0,0,1
"STABILO YELLOW",0,0,0,0,3,0,0,3,0,0,0,6
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,0,0,0,0,0,0
"STAPLER #35 ",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DISPENSER BIG",0,0,0,0,1,0,0,0,0,0,0,1
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,0,0,0,0
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0,0,0
Total,20,305,50,2,37,2,48,33,2,2,2,503
