"Daily Approved Request Report from 8:30am to 3:00pm "
Item," 2016-1460601134"," 2016-1460600772"," 2016-1460599685"," 2016-1460507691"," 2016-1460505956"," 2016-1460432793"," 2016-1460424627"," 2016-1460339957"," 2016-1459735038"," Total"
"HP INK 920XL CYAN",0,0,0,0,0,0,0,0,0,0
"HP INK 920XL MAGENTA",0,0,0,0,0,0,0,0,0,0
"HP INK 920XL YELLOW",0,0,0,0,0,0,0,0,0,0
"HP INK 932XL BLACK",0,0,0,0,0,0,0,0,0,0
"HP INK 933XL CYAN",0,0,0,0,0,0,0,0,0,0
"HP INK 933XL MAGENTA",0,0,0,0,0,0,0,0,0,0
"HP INK 933XL YELLOW",0,0,0,0,0,0,0,0,0,0
"HP TONER 05A",0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB540A) BLACK",0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB541A) CYAN",0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB542A) YELLOW",0,0,0,0,0,0,0,0,0,0
"HP TONER 125 (CB543A) MAGENTA",0,0,0,0,0,0,0,0,0,0
"HP TONER 12A",0,0,0,0,0,0,0,0,0,0
"HP TONER 305 BLACK",0,0,0,0,0,0,0,0,0,0
"HP TONER 305 CYAN",0,0,0,0,0,0,0,0,0,0
"HP TONER 305 MAGENTA",0,0,0,0,0,0,0,0,0,0
"HP TONER 305 YELLOW",0,0,0,0,0,0,0,0,0,0
"HP TONER 35A",0,0,0,0,0,0,0,0,0,0
"HP TONER 36A",0,0,0,0,0,0,0,0,0,0
"HP TONER 53A",2,0,0,0,0,0,0,0,0,2
"HP TONER 80A ",0,0,0,0,0,0,0,0,0,0
"HP TONER 85A",0,0,0,0,0,0,0,0,0,0
"HP TONER CARTRIDGE 78A",0,0,0,0,0,0,0,2,0,2
"LETTER ENVELOPE",0,0,0,0,0,0,500,0,0,500
"LETTER HEAD",0,0,0,0,0,0,200,0,0,200
"LOG BOOK",0,0,0,0,0,0,12,0,2,14
LOGBOOK,0,0,0,0,0,0,0,0,0,0
"MAGAZINE FILE",0,0,0,0,0,0,0,0,0,0
"MEMO PAD",0,0,0,0,0,0,5,0,0,5
"NEWSPRINT LONG",0,0,0,0,0,0,0,0,5,5
"NEWSPRINT SHORT",0,1,0,0,0,0,0,0,10,11
NOTEBOOK,0,0,0,0,0,0,0,0,0,0
NOTEBOOK,0,4,0,0,1,0,0,0,2,7
"OPTICAL MOUSE ",0,0,0,0,2,0,0,0,0,2
"PAPER CLIP BIG",0,0,0,0,0,0,0,0,0,0
"PAPER CLIP SMALL",0,0,0,0,0,0,0,0,0,0
"PENCIL MONGOL",0,0,0,0,0,0,0,0,6,6
"PENTEL PEN BLACK",0,0,0,0,0,0,5,0,7,12
"PENTEL PEN BLUE",0,0,0,0,0,0,0,0,0,0
"PENTEL PEN RED",0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLACK",0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB BLUE",0,0,0,0,0,0,0,0,0,0
"PENTEL PEN WB RED",0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN BLACK",0,1,0,0,0,0,10,0,10,21
"PILOT BX-V5 SIGNPEN BLUE",0,0,0,0,0,0,10,0,10,20
"PILOT BX-V5 SIGNPEN GREEN",0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN PURPLE",0,0,0,0,0,0,5,0,0,5
"PILOT BX-V5 SIGNPEN RED",0,0,0,0,0,0,0,0,0,0
"PILOT BX-V5 SIGNPEN RED",0,1,0,0,0,0,5,0,10,16
PUNCHER,0,0,0,0,0,0,0,0,0,0
"RUBBER BAND BIG",0,0,0,0,0,0,0,0,3,3
"RUBBER BAND SMALL",0,0,0,0,0,0,0,0,0,0
RULER,0,0,0,0,0,0,0,0,0,0
SCISSOR,0,0,0,0,0,0,0,0,0,0
"STABILO BLUE",0,0,0,0,0,0,0,0,4,4
"STABILO GREEN",0,0,0,0,0,0,0,0,4,4
"STABILO ORANGE",0,0,0,0,0,0,0,0,5,5
"STABILO PINK",0,0,0,0,0,0,0,0,4,4
"STABILO YELLOW",0,0,0,0,0,0,0,0,4,4
"STAMP PAD INK BLUE",0,0,0,0,0,0,0,0,0,0
"STAPLE WIRE BIG",0,0,0,0,0,0,0,0,7,7
"STAPLER #35 ",0,0,0,0,0,0,0,2,0,2
"TAPE DISPENSER BIG",0,0,0,0,0,0,1,0,0,1
"TAPE DOUBLE ADHESIVE WITH FOAM",0,0,0,0,0,0,0,0,0,0
"TAPE DOUBLE ADHESIVE WITHOUT FOAM",0,0,0,0,0,0,0,0,0,0
"TAPE MASKING",0,0,0,0,0,0,0,0,0,0
"TAPE MASKING 1""",0,0,0,0,0,0,0,0,0,0
"TAPE PACKING 2'",0,0,0,0,0,0,0,0,22,22
"TAPE SCOTCH 1'",0,0,0,0,0,0,0,0,0,0
"TRANSMITTAL SHEET",0,0,0,0,0,0,0,0,0,0
"TRASH CAN",0,0,0,0,0,0,0,0,0,0
Total,57,7,5,5,13,2,827,4,149,1069
